lr,lc,rc,ld,rd,lnnz,rnnz,smdm_total_latency,smsm_total_latency
132476,27494,4938,0.00019487,0.2,709797,27158635,22698,51941
55773,16286,14336,0.00041097,0.1,373319,23350367,25034,39790
126823,88859,2657,0.00163948,0.15,18476023,35422494,183718,114249
112945,18830,13819,0.00163948,0.001,3486790,260221,123622,3001
67946,1906,17897,0.02533638,0.2,3281547,6823200,87622,181142
84008,18577,1006,0.02533638,0.2,39540932,3740510,73954,68760
20418,11968,27891,0.00082185,0.2,200845,66765881,40377,63946
30333,14254,14880,0.00041097,0.25,177699,53028812,18788,43953
49759,2614,21492,0.00082487,0.17,107315,9552833,13180,26405
86839,13389,21867,0.01084252,0.03,12607482,8784267,593467,253348
23962,71633,21505,0.00056263,0.03,965770,46214520,61926,47498
27872,33660,4176,0.00860544,0.3,8073829,42171004,49563,71722
119534,14986,296,0.00952101,0.15,17056374,665588,14185,10109
13499,38946,34963,0.00082487,0.005,433667,6808399,47919,7348
139920,39416,1928,0.00019487,0.2,1074756,15202048,9771,27114
118113,63168,1877,0.00491597,0.27,36678218,32014833,206287,196682
38901,3854,43891,0.00108175,0.3,162196,50751830,39896,130032
116768,68224,6487,0.00491597,0.07,39163128,30982527,756374,223395
52392,2000,17644,0.02533638,0.2,2655227,7058675,65751,137324
143170,72851,5332,0.00015297,0.13,1595504,50497653,56152,76801
38557,54026,22112,0.00018467,0.03,384695,35840441,56925,19868
84614,4018,3725,0.00160539,0.3,545845,4491306,6688,29914
44485,16752,5113,0.00018467,0.3,137625,25701076,13377,12894
62792,45902,1805,0.00041097,0.3,1184551,24861976,5105,17457
67996,55908,12112,0.00296184,0.05,11259707,33859293,251173,164522
95682,28543,1972,0.00047003,0.23,1283700,12948869,5857,23495
49881,6891,20796,0.00082487,0.17,283538,24362044,25419,66033
12352,12468,17608,0.02533638,0.17,3902395,37324854,96507,102809
11199,26434,11001,0.02533638,0.13,7500968,37806953,111500,78366
62262,12569,11875,0.00108175,0.005,846595,746346,21761,3183
143052,52536,2399,0.00078778,0.07,5920522,8823825,56024,47971
80027,15153,11376,0.00078778,0.2,955350,34478646,37356,109140
115963,36450,9188,0.00015297,0.2,646590,66987116,46511,115555
41846,72699,6721,0.00370564,0.01,11273405,4886774,120793,34504
111901,76334,779,0.00056263,0.23,4805928,13678481,10827,22076
62280,73458,2207,0.00078778,0.15,3604136,24327889,15211,31552
22104,24818,5378,0.00182521,0.25,1001316,33370838,9210,17757
121480,16530,4479,0.00108175,0.23,2172316,17030235,29899,84578
22778,10815,19643,0.00056263,0.13,138607,27618796,20392,28763
23703,22268,4497,0.00078778,0.15,415822,15023582,4559,10299
16040,39396,27507,0.00952101,0.001,6016511,1083671,241311,11554
4161,12489,19123,0.01084252,0.17,563597,40603716,15667,18523
110866,73534,17656,0.00182521,0.01,14880151,12983882,766978,181982
99144,97504,3991,0.00163948,0.15,15848898,58377287,175607,131483
52305,19935,7537,0.00296184,0.17,3088399,25546284,45755,70912
66190,3277,16927,0.00082282,0.15,178484,8321213,14744,33036
12228,10281,22617,0.00013363,0.23,16801,53483788,21602,6471
144319,38023,7918,0.00860544,0.005,47222253,1505374,1235405,106462
89931,29792,8757,0.00860544,0.23,23056524,60007616,489002,477102
51594,92721,20107,0.00296184,0.01,14169019,18644313,491802,128927
54986,14587,17892,0.00013363,0.15,107182,39148904,28819,26793
84555,83918,22255,0.00182521,0.03,12951257,56030479,669983,306278
71630,54634,1408,0.00296184,0.3,11591069,23091874,29436,49367
18829,7341,36671,0.02533638,0.25,3502645,67309410,184333,247841
26889,71999,9831,0.00370564,0.01,7174091,7078480,112009,29793
128577,13435,1547,0.00860544,0.23,14865353,4781979,69935,59866
94579,26926,7130,0.00182521,0.27,4648272,51843188,98382,158399
89300,62672,2675,0.00370564,0.2,20739217,33537183,154679,126078
99044,73254,1425,0.00296184,0.15,21489714,15659006,80917,60919
9399,66337,15140,0.00013363,0.03,83327,30132156,23396,3220
50934,66250,15893,0.00491597,0.03,16588394,31588707,429332,166783
74758,70969,1479,0.00031941,0.15,1694668,15753736,6299,20893
86717,41736,3127,0.00078778,0.13,2851196,16971095,26724,44749
134963,50115,3152,0.00018467,0.15,1249062,23699508,19520,40413
46242,36529,1934,0.00082282,0.2,1389925,14131215,5088,13070
39751,9041,20031,0.00018467,0.2,66377,36224403,20008,25557
74861,3761,13194,0.00082282,0.13,231685,6451839,13302,28764
77588,7012,13176,0.00108175,0.17,588548,15707328,22553,76503
121993,53221,11925,0.00019487,0.005,1265219,3173431,50427,5798
126989,67460,7212,0.00041097,0.13,3520680,63253426,117909,142897
51310,66327,13468,8.43E-05,0.07,286863,62532293,54567,33783
131972,55300,2384,8.43E-05,0.25,615158,32968910,18092,32219
13603,10089,26357,8.43E-05,0.15,11568,39888940,12906,3763
8877,3484,43992,0.00031941,0.3,9881,45990272,21183,8109
27624,52458,15862,0.00163948,0.005,2375820,4160472,64230,13549
113491,42518,3849,0.00163948,0.2,7911293,32733423,103859,113186
